contract_address,TX1 Trace Length,TX1 SSTORE Count,TX1 CALL Count,TX2 Trace Length,TX2 SSTORE Count,TX2 CALL Count,TX3 Trace Length,TX3 SSTORE Count,TX3 CALL Count,TX1 Original Trace Length,TX1 Original SSTORE Count,TX1 Original CALL Count,TX2 Original Trace Length,TX2 Original SSTORE Count,TX2 Original CALL Count,TX3 Original Trace Length,TX3 Original SSTORE Count,TX3 Original CALL Count,Tx1 Trace Diff ( original - patched),Tx2 Trace Diff,Tx3 Trace Diff,Tx1 SSTORE Diff,Tx2 SSTORE Diff,Tx3 SSTORE Diff,Tx1 Call Diff,Tx2 Call Diff,Tx3 Call Diff
0xBDF115C9002AaCE730B44930b269e97CeaEea56E,88,1,2,88,3,3,88,0,0,94,3,2,88,3,3,88,0,0,6,0,0,2,0,0,0,0,0
0xdeC7fFFbEBcEb6A2cB57BfA8b203CAFFc0f61259,120,3,2,123,4,2,71,0,0,126,4,2,123,4,2,71,0,0,6,0,0,1,0,0,0,0,0
0x645BA45dBe3c6942c812A46f9EE8115C89B524EC,65,1,2,70,3,3,57,0,0,74,3,2,70,3,3,57,0,0,9,0,0,2,0,0,0,0,0
0x2Ac64f23D5546248F54c48F8E4BCAA94b32De708,527,1,0,527,2,2,87,0,2,530,2,2,527,2,2,87,0,2,3,0,0,1,0,0,2,0,0
0x4C19596f5aAfF459fA38B0f7eD92F11AE6543784,113,3,2,114,5,2,114,0,0,118,5,2,114,5,2,114,0,0,5,0,0,2,0,0,0,0,0
0x329239599afB305DA0A2eC69c58F8a6697F9F88d,556,2,2,555,4,3,544,0,1,558,4,2,555,4,3,544,0,1,2,0,0,2,0,0,0,0,0
0x62c02E1Ee0D6153A097B458f9eEA2Eb1635d57c3,46,2,1,50,4,2,13,0,0,52,4,2,50,4,2,13,0,0,6,0,0,2,0,0,1,0,0
0xF87E31492Faf9A91B02Ee0dEAAd50d51d56D5d4d,120,1,0,126,3,3,108,0,0,129,3,2,126,3,3,108,0,0,9,0,0,2,0,0,2,0,0
0x132c3107f3cfd0Cf33485BDa398C993b1cd4723d,49,2,0,50,4,3,13,0,0,52,4,2,50,4,3,13,0,0,3,0,0,2,0,0,2,0,0
0xe7A7E66a809B1372A5402c2B5e33263Ff1F37dC4,267,2,1,271,3,2,81,0,1,274,3,2,271,3,2,81,0,1,7,0,0,1,0,0,1,0,0
0xDb33d69d2a660C541EB4ef1D0e956b9A5e2D34f7,109,1,2,112,2,2,68,0,0,114,2,2,112,2,2,68,0,0,5,0,0,1,0,0,0,0,0
0x2c43d116eaE1d152FA708b84bB511Bb9D9f22697,306,2,2,308,3,3,72,0,0,314,3,2,308,3,3,72,0,0,8,0,0,1,0,0,0,0,0
0x4CEA0e778f6E43D424EE93a3e21552f62c5A8a78,110,2,2,112,3,3,68,0,1,114,3,2,112,3,3,68,0,1,4,0,0,1,0,0,0,0,0
0xBde001C5700Fd7A1C749440E11E9D10Fdd3Ad7Cf,307,2,2,310,4,2,290,0,1,317,4,2,310,4,2,290,0,1,10,0,0,2,0,0,0,0,0
0xa4057dadA9217A8E64Ee7d469A5A7e7c40B7380f,141,1,2,140,3,2,140,0,0,142,3,2,140,3,2,140,0,0,1,0,0,2,0,0,0,0,0
0x1337DEF1FC06783D4b03CB8C1Bf3EBf7D0593FC4,1268,2,2,1274,4,2,1068,0,1,1276,4,2,1274,4,2,1068,0,1,8,0,0,2,0,0,0,0,0
0x4Dbd4fc535Ac27206064B68FfCf827b0A60BAB3f,214,2,2,218,3,3,218,0,0,221,3,2,218,3,3,218,0,0,7,0,0,1,0,0,0,0,0
0x73075e2c5Ea7A30bc15fCa364a67CBb70A348f58,213,1,2,218,3,2,218,0,0,221,3,2,218,3,2,218,0,0,8,0,0,2,0,0,0,0,0
0x217312Bcfb049bef7844425040Ad9539B0a3a377,307,2,3,313,3,4,307,0,0,315,3,3,313,3,4,307,0,0,8,0,0,1,0,0,0,0,0
0x9f37F4FB3F4F9a2eAa2300bd79530Bf73F11d2EF,220,1,2,218,2,3,218,0,0,221,2,2,218,2,3,218,0,0,1,0,0,1,0,0,0,0,0
0x27182842E098f60e3D576794A5bFFb0777E025d3,44,2,2,52,3,3,51,0,1,54,3,2,52,3,3,51,0,1,10,0,0,1,0,0,0,0,0
0x6D9E02FfBcFd787A2285BeCA6553656Db29e5aF9,110,1,2,106,2,2,60,0,0,116,2,2,106,2,2,60,0,0,6,0,0,1,0,0,0,0,0
